year,AG,Jiaxing,time,level,trend,Jiaxingtime,Jiaxinglevel,Jiaxingtrend
2000,3752.688075,1,1,0,0,1,0,0
2001,3557.473087,1,2,0,0,2,0,0
2002,3430.737121,1,3,0,0,3,0,0
2003,3204.658722,1,4,0,0,4,0,0
2004,3543.370243,1,5,0,0,5,0,0
2005,3501.137028,1,6,0,0,6,0,0
2006,3532.681632,1,7,0,0,7,0,0
2007,2968.255468,1,8,0,0,8,0,0
2008,3481.982586,1,9,0,0,9,0,0
2009,3448.951723,1,10,1,1,10,1,1
2010,3484.421112,1,11,1,2,11,1,2
2011,3347.305415,1,12,1,3,12,1,3
2012,3154.013264,1,13,1,4,13,1,4
2013,3316.550222,1,14,1,5,14,1,5
2014,2909.983652,1,15,1,6,15,1,6
2015,3227.305336,1,16,1,7,16,1,7
2016,2784.086486,1,17,1,8,17,1,8
2017,2905.446501,1,18,1,9,18,1,9
2000,4884.737837,0,1,0,0,0,0,0
2001,4287.374684,0,2,0,0,0,0,0
2002,4643.419561,0,3,0,0,0,0,0
2003,4154.898191,0,4,0,0,0,0,0
2004,4752.279733,0,5,0,0,0,0,0
2005,4266.114017,0,6,0,0,0,0,0
2006,4684.876712,0,7,0,0,0,0,0
2007,3364.003888,0,8,0,0,0,0,0
2008,5303.358159,0,9,0,0,0,0,0
2009,4574.729009,0,10,1,1,0,0,0
2010,3385.577768,0,11,1,2,0,0,0
2011,4348.601663,0,12,1,3,0,0,0
2012,2965.417467,0,13,1,4,0,0,0
2013,3804.207947,0,14,1,5,0,0,0
2014,3684.92411,0,15,1,6,0,0,0
2015,3572.811361,0,16,1,7,0,0,0
2016,3626.894832,0,17,1,8,0,0,0
2017,3067.459126,0,18,1,9,0,0,0
