year,IN,Ningbo,time,level,trend,Ningbotime,Ningbolevel,Ningbotrend
2000,80.4325449,1,1,0,0,1,0,0
2001,65.77247682,1,2,0,0,2,0,0
2002,68.16005078,1,3,0,0,3,0,0
2003,186.8737269,1,4,0,0,4,0,0
2004,188.9200664,1,5,0,0,5,0,0
2005,297.7509068,1,6,0,0,6,0,0
2006,335.1652125,1,7,0,0,7,0,0
2007,301.4405216,1,8,0,0,8,0,0
2008,349.064864,1,9,0,0,9,0,0
2009,344.6335509,1,10,1,1,10,1,1
2010,264.5602859,1,11,1,2,11,1,2
2011,371.023134,1,12,1,3,12,1,3
2012,408.5039417,1,13,1,4,13,1,4
2013,380.4510008,1,14,1,5,14,1,5
2014,395.5926859,1,15,1,6,15,1,6
2015,431.9578903,1,16,1,7,16,1,7
2016,293.7130582,1,17,1,8,17,1,8
2017,327.9222762,1,18,1,9,18,1,9
2000,30.56402024,0,1,0,0,0,0,0
2001,19.24309519,0,2,0,0,0,0,0
2002,14.73389462,0,3,0,0,0,0,0
2003,40.50504898,0,4,0,0,0,0,0
2004,95.67906072,0,5,0,0,0,0,0
2005,134.3102608,0,6,0,0,0,0,0
2006,151.712441,0,7,0,0,0,0,0
2007,83.30293698,0,8,0,0,0,0,0
2008,210.2094601,0,9,0,0,0,0,0
2009,194.6153878,0,10,1,1,0,0,0
2010,89.10868385,0,11,1,2,0,0,0
2011,153.3062358,0,12,1,3,0,0,0
2012,238.2051198,0,13,1,4,0,0,0
2013,234.966266,0,14,1,5,0,0,0
2014,278.4556341,0,15,1,6,0,0,0
2015,230.2963307,0,16,1,7,0,0,0
2016,173.4249492,0,17,1,8,0,0,0
2017,176.6061376,0,18,1,9,0,0,0
